区域,代码
陕西省-榆林市,610800
云南省-红河,532500
贵州省-铜仁,520600
湖北省-孝感市,420900
吉林省-延边,222400
安徽省-合肥市,340100
四川省-自贡市,510300
辽宁省-营口市,210800
海南省-儋州,460400
四川省-雅安市,511800
安徽省-宣城市,341800
江苏省-南通市,320600
辽宁省-丹东市,210600
湖南省-郴州市,431000
河南省-焦作市,410800
浙江省-舟山市,330900
江苏省-泰州市,321200
吉林省-松原市,220700
四川省-宜宾市,511500
贵州省-黔东南,522600
湖南省-常德市,430700
广东省-肇庆市,441200
黑龙江省-鸡西市,230300
青海省-西宁市,630100
黑龙江省-黑河市,231100
安徽省-马鞍山市,340500
黑龙江省-双鸭山市,230500
陕西省-渭南市,610500
四川省-德阳市,510600
山西省-太原市,140100
四川省-南充市,511300
山西省-晋中市,140700
陕西省-宝鸡市,610300
内蒙古-包头市,150200
广西-南宁市,450100
广东省-茂名市,440900
福建省-宁德市,350900
湖北省-黄石市,420200
湖南省-益阳市,430900
湖南省-娄底市,431300
江西省-南昌市,360100
四川省-眉山市,511400
山东省-枣庄市,370400
吉林省-辽源市,220400
贵州省-黔南,522700
四川省-广元市,510800
海南省-三亚市,460200
安徽省-芜湖市,340200
内蒙古-鄂尔多斯市,150600
湖北省-咸宁市,421200
贵州省-黔西南,522300
新疆-昌吉,652300
山西省-忻州市,140900
湖北省-十堰市,420300
山东省-日照市,371100
广西-柳州市,450200
湖南省-张家界市,430800
内蒙古-兴安盟,152200
江苏省-扬州市,321000
江西省-萍乡市,360300
内蒙古-巴彦淖尔市,150800
黑龙江省-七台河市,230900
河南省-开封市,410200
湖北省-鄂州市,420700
陕西省-咸阳市,610400
吉林省-白山市,220600
贵州省-六盘水市,520200
新疆-伊犁,654000
甘肃省-武威市,620600
广东省-阳江市,441700
甘肃省-张掖市,620700
甘肃省-天水市,620500
四川省-凉山,513400
江西省-鹰潭市,360600
四川省-遂宁市,510900
云南省-昭通市,530600
云南省-昆明市,530100
甘肃省-白银市,620400
黑龙江省-鹤岗市,230400
湖南省-湘潭市,430300
广西-玉林市,450900
云南省-曲靖市,530300
广东省-云浮市,445300
山西省-吕梁市,141100
湖北省-随州市,421300
黑龙江省-伊春市,230700
山西省-大同市,140200
江西省-上饶市,361100
云南省-普洱市,530800
福建省-莆田市,350300
广东省-清远市,441800
山西省-朔州市,140600
河南省-三门峡市,411200
云南省-文山,532600
河南省-鹤壁市,410600
新疆-巴音郭楞,652800
江西省-景德镇市,360200
云南省-大理,532900
甘肃省-定西市,621100
四川省-巴中市,511900
新疆-塔城,654200
黑龙江省-大兴安岭,232700
四川省-绵阳市,510700
山西省-晋城市,140500
山东省-莱芜市,371200
山西省-长治市,140400
甘肃省-临夏,622900
湖北省-荆门市,420800
四川省-内江市,511000
新疆-阿克苏,652900
陕西省-延安市,610600
